,latitude,longitude,state,station,month,air temperature - dry bulb (°c),geometry
3663,-15.72277777,-42.43527777,MG,RIO PARDO DE MINAS,5,19.889513378560515,POINT (-42.43527777 -15.72277777)
3771,-15.08583333,-44.01611111,MG,MOCAMBINHO,5,23.827379046204953,POINT (-44.01611111 -15.08583333)
2025,-20.636526,-40.741818,ES,ALFREDO CHAVES,5,23.451793881244065,POINT (-40.741818 -20.636526)
2149,-20.46694443,-40.40416666,ES,VILA VELHA,5,22.19310919897277,POINT (-40.40416666 -20.46694443)
2925,-18.99638888,-46.98583333,MG,PATROCINIO,5,18.560398873742262,POINT (-46.98583333 -18.99638888)
903,-22.4711111,-48.5575,SP,BARRA BONITA,5,20.3655738771848,POINT (-48.5575 -22.4711111)
1227,-22.235222,-49.965111,SP,MARILIA,5,20.529838709677392,POINT (-49.965111 -22.235222)
199,-23.844678,-46.143376,SP,BERTIOGA,5,22.88145161290323,POINT (-46.143376 -23.844678)
1350,-21.938745,-42.600936,RJ,CARMO,5,20.445833333333354,POINT (-42.600936 -21.938745)
795,-22.689001,-45.005444,SP,CACHOEIRA PAULISTA,5,20.741666666666674,POINT (-45.005444 -22.689001)
3723,-15.31,-45.61666666,MG,CHAPADA GAUCHA,5,21.491995736195207,POINT (-45.61666666 -15.31)
1809,-21.10472222,-42.37583332,MG,MURIAE,5,20.980878078997183,POINT (-42.37583332 -21.10472222)
393,-23.22333332,-44.72666666,RJ,PARATI,5,20.93434060370664,POINT (-44.72666666 -23.22333332)
3297,-17.7986111,-40.24972221,MG,SERRA DOS AIMORES,5,22.428580818785182,POINT (-40.24972221 -17.7986111)
621,-22.8711111,-42.60888888,RJ,SAQUAREMA - SAMPAIO CORREIA,5,22.0057198572184,POINT (-42.60888888 -22.8711111)
3551,-16.3625,-45.12388888,MG,SAO ROMAO,5,22.38161724408675,POINT (-45.12388888 -16.3625)
3759,-15.085958,-44.016036,MG,MOCAMBINHO,5,23.94059139784947,POINT (-44.016036 -15.085958)
2325,-20.26361111,-42.18277777,MG,MANHUACU,5,17.989054619273197,POINT (-42.18277777 -20.26361111)
975,-22.4486111,-42.98694444,RJ,TERESOPOLIS-PARQUE NACIONAL,5,16.815793010752717,POINT (-42.98694444 -22.4486111)
2841,-19.45527777,-44.17333332,MG,SETE LAGOAS,5,18.3668385548126,POINT (-44.17333332 -19.45527777)
1155,-22.35,-43.7,RJ,VALENCA,5,19.5805443538399,POINT (-43.7 -22.35)
3795,-14.91277777,-42.82972221,MG,ESPINOSA,5,24.498380679926196,POINT (-42.82972221 -14.91277777)
1323,-21.97972221,-47.88333333,SP,SAO CARLOS,5,18.48303274004256,POINT (-47.88333333 -21.97972221)
1833,-21.10083333,-41.03944444,ES,PRES. KENNEDY,5,22.688927470788688,POINT (-41.03944444 -21.10083333)
2829,-19.455288,-44.173389,MG,SETE LAGOAS,5,20.827553763440875,POINT (-44.173389 -19.455288)
2337,-20.263378,-42.182817,MG,MANHUACU,5,19.683222215639837,POINT (-42.182817 -20.263378)
151,-23.85194444,-48.16472222,SP,SAO MIGUEL ARCANJO,5,17.583467741935525,POINT (-48.16472222 -23.85194444)
3599,-16.16027777,-42.31027777,MG,SALINAS,5,22.51796032659697,POINT (-42.31027777 -16.16027777)
2229,-20.38555555,-41.18999999,ES,VENDA NOVA DO IMIGRANTE,5,18.548050026465468,POINT (-41.18999999 -20.38555555)
1953,-20.75055555,-41.48888888,ES,ALEGRE,5,21.801851818738026,POINT (-41.48888888 -20.75055555)
927,-22.45138888,-44.44499999,RJ,RESENDE,5,18.526747311827936,POINT (-44.44499999 -22.45138888)
2661,-19.710028,-47.961889,MG,UBERABA,5,21.55215053763442,POINT (-47.961889 -19.710028)
1011,-22.3961111,-44.96166666,MG,PASSA QUATRO,5,16.64893213646742,POINT (-44.96166666 -22.3961111)
2781,-19.53277777,-41.09083333,MG,AIMORES,5,22.82316311644336,POINT (-41.09083333 -19.53277777)
687,-22.86138888,-43.41138888,RJ,RIO DE JANEIRO - VILA MILITAR,5,22.6755376344086,POINT (-43.41138888 -22.86138888)
357,-23.22833332,-45.41694443,SP,SAO LUIS DO PARAITINGA,5,17.231989247311823,POINT (-45.41694443 -23.22833332)
771,-22.70305555,-47.62333332,SP,PIRACICABA,5,18.640302429421737,POINT (-47.62333332 -22.70305555)
1713,-21.319138,-50.930158,SP,VALPARAISO,5,22.5858870967742,POINT (-50.930158 -21.319138)
2445,-20.031457,-44.011249,MG,IBIRITE (ROLA MOCA),5,18.526654227481977,POINT (-44.011249 -20.031457)
1521,-21.68083332,-45.94444444,MG,MACHADO,5,18.605510752688144,POINT (-45.94444444 -21.68083332)
3735,-15.30027777,-45.61749999,MG,CHAPADA GAUCHA,5,20.58736559139787,POINT (-45.61749999 -15.30027777)
1689,-21.33833333,-48.11388888,SP,PRADOPOLIS,5,19.469518148346303,POINT (-48.11388888 -21.33833333)
127,-23.951972,-46.530472,SP,BRAGANCA PAULISTA,5,19.085811640926956,POINT (-46.530472 -23.951972)
1083,-22.372832,-50.97471,SP,RANCHARIA,5,18.759153743153803,POINT (-50.97471 -22.372832)
3321,-17.784477,-46.119394,MG,JOAO PINHEIRO,5,21.19130204492965,POINT (-46.119394 -17.784477)
3675,-15.524262,-46.435536,MG,BURITIS,5,22.251966206816324,POINT (-46.435536 -15.524262)
3539,-16.362747,-45.123801,MG,SAO ROMAO,5,23.222348539740516,POINT (-45.123801 -16.362747)
1509,-21.71472222,-41.34388888,RJ,CAMPOS DOS GOYTACAZES,5,22.867137096774197,POINT (-41.34388888 -21.71472222)
3117,-18.69527777,-40.4075,ES,NOVA VENECIA,5,22.70244558894605,POINT (-40.4075 -18.69527777)
999,-22.415,-46.80527777,SP,ITAPIRA,5,19.00294125654011,POINT (-46.80527777 -22.415)
3009,-18.83027777,-41.97666666,MG,GOVERNADOR VALADARES,5,22.07551517037409,POINT (-41.97666666 -18.83027777)
